nom_entreprise,nom_emploi,description_cie,description_job,salaire_min,salaire_max,salaire_avg,ville,departement,contrat,niveau_experience,niveau_etudes,teletravail,competences,date_publication,secteur,nb_employes,url,impact,index_egalite,repartition_genre,company_creation,reference,office_latitude,office_longitude,source
Celad,Data Analyst (H/F),"Issu du monde bancaire, #CELAD a été créée en 1990 à Toulouse. Nos 1700 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et les systèmes embarqués et ceci chez plus de 250 clients (PME/PMI et grands comptes).

Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail.","Data Analyst (H/F) - CDI – Freelance - Portage Salarial | 1 jour de télétravail / semaine | Valence Envie d’un nouveau challenge... CELAD vous attend ! 🚀 Nous poursuivons notre développement et recherchons actuellement un.e Data Analyst pour intervenir chez un de nos clients. 💻💼 Pourquoi ce poste est fait pour vous ? Vous aurez l'opportunité d' accompagner l'équipe PMO dans la construction et le suivi du budget R&D . Un rôle clé où votre expertise sera valorisée et où vous pourrez vraiment faire la différence ! Vos missions principales 🎯 - Gestion budgétaire : Participer à la construction et au suivi des budgets pluriannuels en collaboration avec les parties prenantes, afin de garantir des prévisions de coûts précises jusqu'à la finalisation des projets. - Suivi financier : Suivre de près les consommations et engagements, ainsi que les prévisions de travaux restants (heures et achats). Vous identifierez les écarts entre les chiffres réels et prévisionnels et fournirez les justifications nécessaires pour le contrôle financier. - Reporting et analyse : Proposer, mettre en œuvre et partager des tableaux de bord et des indicateurs clés de performance (KPI) complets.",35.0,39.0,37.0,Valence,26.0,CDI,,,,,2024-07-20,,,/fr/tech-it/analyste/job-mission/data-analyst-h-f-279,,,,,,,,Free Work
Meetshake,Data Analyst E-commerce (H/F),"MEETSHAKE vous accompagne dans la sélection de vos talents digitaux et IT, en prestation et recrutement, pour construire votre performance business.

Le conseil et l’humain sont notre force, la détection de vos meilleurs profils, un véritable savoir-faire !

Meetshake place au cœur de la sélection de talents, le contexte de l’entreprise, ses besoins et ses enjeux tout en conciliant la culture et la pluralité des expertises comme moteur de la réussite de vos projets.

Ce n’est pas uniquement avec les meilleurs ingrédients qu’on fait le meilleur « meetshake », tout est une question d’alchimie, de recette 😊

Alors ne cherchez plus le mouton à 5 pattes et dessinons le ensemble !","Nous recherchons un Data Analyst Freelance expérimenté pour rejoindre notre équipe data e-commerce et finance. Vous serez responsable de l'analyse et de l'interprétation des données financières et e-commerce pour aider à la prise de décisions stratégiques. Missions principales : Collecter, analyser et interpréter des données financières et e-commerce. Développer et maintenir des tableaux de bord interactifs avec PowerBi. Utiliser SQL pour interroger des bases de données et extraire des informations pertinentes. Programmer en Python pour l'analyse de données, l'automatisation des tâches et la création de modèles prédictifs. Travailler sur Google Cloud Platform (GCP) pour gérer et analyser les données. Collaborer étroitement avec les équipes métier pour comprendre leurs besoins et fournir des insights actionnables. Présenter les résultats des analyses de manière claire et concise aux parties prenantes.",400.0,450.0,425.0,Ivry Sur Seine,94.0,Mission freelance,,,,,2024-07-21,,,/fr/tech-it/chef-de-projet-e-commerce/job-mission/data-analyst-h-f-276,,,,,,,,Free Work
Apya,Analyste de test fonctionnel Data,"APYA est le premier réseau de talents indépendants en France, avec plus de 2500 membres. 

APYA est agile et porte les valeurs de bienveillance humaine, d'engagement et de transparence envers son réseau de consultants et ses clients. 

Nous offrons une gamme de services, y compris le recrutement de talents indépendants, le portage commercial, le portage salarial, la gestion et le recrutement.

Nos domaines d'expertises :
👉 Management de transition
👉 Renfort opérationnel (DAF, CDG, DSI, DA....)
👉 Conseil en management / IT
👉 Technologie et Digital

Le réseau APYA est sélectif et rayonne sur toute la France, avec des talents qualifiés avec soin, partageant les valeurs d'APYA et capables de répondre aux enjeux des clients. 

APYA accompagne ses talents avec une équipe engagée et réactive, offrant des conseils et une expertise, ainsi qu'un accès à plus de 50 clients de tout secteur ETI, Grands Comptes et Start-up. 

Rejoignez notre réseau 👉 https://apya.fr/signup","Au sein du pôle Qualité Data, l’Analyste de Test Fonctionnel Data sera en charge de la préparation, de l'exécution et du suivi de la recette technico-fonctionnelle, tout en contribuant à l'amélioration de la qualité des données. Vous interviendrez sur des projets BI et Data pour les enseignes et les fonctions d'appui du Groupement. Vos missions principales seront : Participer aux ateliers et rituels agiles. Réaliser la stratégie de test. Identifier et réceptionner les environnements de test. Analyser et évaluer les cas d'usage/User Story. Rédiger les plans de test, identifier les prérequis et spécifier les jeux de données. Exécuter les cas de tests. Créer et suivre les anomalies avec les différentes parties prenantes. Maintenir le référentiel de test. Réaliser le PV de recette.",100.0,470.0,285.0,Paris,75.0,Mission freelance,,,,,2024-07-19,,,/fr/tech-it/analyste/job-mission/analyste-de-test-fonctionnel-data,,,,,,,,Free Work
Digistrat Consulting,Data Analyst Sénior,"Qui sommes-nous ?

Digistrat Consulting est un cabinet de conseil spécialisé en finance de marché. Nous proposons des prestations à forte valeur ajoutée avec une expertise à la fois au niveau des technologies de pointe et également en terme des méthodologies.
Nos clients sont principalement des banques d’investissements que nous accompagnons dans leurs projets IT les plus stratégiques à travers notre expertise :

- Technique #.NET #C# #AngularJS #BigData #Java #Hadoop #NoSQL
- Métier #Pricing #P&L #Risque
- Gestion de projet #Agile #Scrum #Craftsmanship #Kanban

Nos points de différenciation sur le marché :

-L’entreprise a été créée par deux ingénieurs
-L’homogénéité et la qualité des profils de nos consultants
-Société à taille humaine et esprit start-up.","💼 Poste : Data Analyst Plus de 9 ans 🏭 Secteurs stratégiques : Banque d’investissement 🗓 Démarrage : ASAP 💡 Contexte /Objectifs : La prestation consiste à : Comprendre l’environnement et le métier de la LCLF (lutte contre la fraude) S'approprier les Dashboards existants Comprendre et mettre en lumière les KPI des métiers de la LCLF : refontes design et graphiques Participer à la collecte, la transformation et la gestion des données pour en assurer l'intégrité, la sécurité et la qualité Animer des groupes de travail avec les sponsors pour collecter les besoins Elaborer et automatiser les traitements Formation et accompagnement des utilisateurs. 🤝 Expertises spécifiques : Sensible et informé des évolutions technologiques sur les piles logicielles pratiquées bonne connaissance générale des logiques décisionnelles environnements et outils Azure (Synapse, SSAS) et de Google Cloud Platform (BigQuery) Outils de requêtage : SQL Delivery : Git Viz : Expertise sur PowerBI. Soft skills Forte sensibilité à l’UX, au design Sens de l'initiative et du résultat Capacité de travail en équipe et co-création Bon communicant à l’écrit et à l’oral",10.0,200.0,105.0,Paris,75.0,CDI,,,,,2024-07-17,,,/fr/tech-it/analyste/job-mission/data-analyst-senior-29,,,,,,,,Free Work
To B Services,Data Analyst,"Depuis 2008, le métier de To B Services est de mettre en adéquation,  tout au long des missions, les compétences et les aspirations de ses consultants et les besoins de ses clients dans leur environnement humain, technologique et organisationnel. 

Pour atteindre cet objectif d’excellence, To B Services s’appuie, d’une part sur son vaste réseau d'ingénieurs et techniciens, et d’autre part, sur une méthode éprouvée de sélection et d’accompagnement.","Au sein d'une équipe de 3 personnes, Le candidat sera amené à superviser et générer un ensemble d'indicateurs de qualité et de performance permettant de suivre la qualité de services TV et Internet chez les clients de l'opérateur télécom. Objectifs et Livrables Surveillance de l'évolution de KPI Techniques, fonctionnels et de performance, Création de nouveaux indicateurs pertinents, Reporting et analyse de l'évolutions de ces indicateurs, EB formalisant de nouveaux indicateurs, Reporting de suivi de KPI",45.0,61.0,53.0,Vélizy Villacoublay,78.0,CDI,,,,,2024-07-19,,,/fr/tech-it/analyste/job-mission/data-analyst-564,,,,,,,,Free Work
Fed Sas,DATA ANALYST,"Nous sommes spécialistes du recrutement des équipes de la DSI

Vous êtes un professionnel de l'informatique, de la transformation numérique et du digital, engagé dans un métier passionnant et exigeant ? Nous aussi ! Fed IT, votre cabinet de recrutement informatique, comprend votre métier, vos besoins, vos attentes, et bien plus encore. 

Vous êtes un expert dans votre métier ? Nous aussi ! Nous connaissons les moindres détails du monde de l'informatique, de la transformation numérique et du digital. Vous êtes confronté à de nouveaux défis tous les jours ? Nous aussi ! Nous comprenons les enjeux auxquels vous devez répondre au quotidien, que ce soit dans la recherche de solutions technologiques innovantes, la gestion de projets complexes, ou l'adaptation constante aux évolutions du secteur.

Nous savons que chaque étape de votre carrière est importante, que ce soit pour négocier votre salaire de manière professionnelle, améliorer votre CV, ou vous fournir des informations sur le marché de l'emploi. Les experts de notre cabinet de recrutement informatique sont là pour vous accompagner vers votre réussite professionnelle.

Faire confiance à Fed IT, c'est compter sur l'expertise d'une équipe de recrutement qui comprend votre métier de l'intérieur. Notre priorité est votre succès, pour que vous puissiez exercer votre profession dans les meilleures conditions, et que votre avenir professionnel soit entre de bonnes mains.

Notre engagement est incomparable, la mission de notre cabinet de recrutement informatique tient en quelques mots : nous créons des rencontres qui ont du sens.","Je recrute pour un de mes clients lillois spécialisé dans la plomberie/chauffagerie pour les bailleurs sociaux et clients particuliers, un Data analyst. Vos principales missions au sein de la direction régionale et des agences : Mise en place et suivi des KPI, indicateurs Réalisation des reportings, des analyses pour les agences Réalisation des reportings à l'attention des clients Accompagnement et assistance des opérationnels sur Salesforce Veille technologique Export des données et mise en forme pour les clients Assistance aux utilisateurs",35.0,40.0,37.5,Lambersart,59.0,CDI,,,,,2024-07-19,,,/fr/tech-it/analyste/job-mission/data-analyst-567,,,,,,,,Free Work
We +,Analyste moe Big Data,"we+ est un cabinet de conseil expert en IT, membre de l’écosystème Alan Allman Associates.
Avec plus de 250 experts en France, répartis dans 7 cabinets en France et à Monaco, nous proposons à nos clients, entreprises du secteur privé et administrations publiques, des prestations de conseils et de services dans le domaine des Systèmes d’Information (informatique). 

Nous les accompagnons au travers de différentes expertises : audit et préconisation, analyse des métiers, définition de schémas directeur, réalisation (architecture et le management des infrastructures IT, le management de projet et le digital), avec une ambition commune : faciliter les flux et optimiser les systèmes d’information penser et construire l’environnement technologique de demain.

Depuis nos cabinets de Aix-en-Provence, Brest, Monaco, Nice, Paris, Rennes, Toulouse, nous pouvons dès aujourd’hui vous rencontrer, vous conseiller et vous aider à concrétiser votre projet professionnel.
Choisir we + pour votre carrière, c’est rejoindre une entreprise proche de ses consultants, capable d’offrir une diversité de missions et une réelle évolution de carrière dans un cadre professionnel stimulant.
We + est un cabinet où il fait bon travailler : l’écosystème Alan Allman Associates est 3eme au classement national Happy@Work 2019 et 1er sur l’Agilité.","Vous rejoindrez notre équipe sur le périmètre Risque, Finance et Lutte anti-fraude. Vous participerez aux activités projet, maintenance évolutive et corrective de l'application. Vos missions consisteront à contribuer à/au (x): S'approprier les aspects techniques et fonctionnels de la solution S'approprier le process de déploiement de l'application Réaliser l'instruction des demandes d'évolution client (étude faisabilité, impact, estimation de charge) en coordination avec les architectes, urbanistes et éditeur et le chef de projet, Mettre en œuvre les évolutions dans les délais et qualité demandés Participer au chantier d’optimisation des indicateurs de clés de fraude Réaliser les travaux demandés dans les délais définis et qualité demandée Contribuer à l'identification et tests d'optimisations des requêtes SQL en concertation avec les équipes du datalake et l'éditeur Participer aux campagnes de tests et validation de l'application Remonter les anomalies sur les outils de suivi Préparer/documenter et suivre les installations des composantes de la solution Elaborer des plans et cas de tests, participer aux tests et recette (y compris tests de non régression et de performance) de la solution Pré-qualifier les corrections avant livraison au client S'assurer du bon fonctionnement de l'application au quotidien (batch et TP) Instruire et résoudre les incidents en lien avec la MOA et l'éditeur Réaliser les demandes de travaux MOA Participation aux différentes instances projet et équipe",38.0,50.0,44.0,Hauts De Seine,75.0,CDI,,,,,2024-07-17,,,/fr/tech-it/analyste/job-mission/analyste-moe-big-data,,,,,,,,Free Work
Charli Group,Data Analyst Capacity Management,"CharliGroup est né en Octobre 2019, de l’association de 2 expertes dans leur domaine ayant la volonté de créer une Start-up qui leur ressemble et leur permettre de relever les défis de demain avec des règles nouvelles, en harmonie avec leurs valeurs et expertises.

CharliGroup est une société de conseil en expertise technique et management de projet autour de quatre filiales :

CHARLI NETWORK & SECURITY
CHARLI SYSTEMS & CLOUD
C H A R L I CYBERSECURITY
CHARLI DATA & DIGITAL","Nous recherchons un Data Analyst confirmé pour rejoindre notre équipe à partir de septembre 2024. Le candidat retenu sera responsable des analyses liés au Capacity Management, de la compréhension des données de facturation, et de la mise en place de modèles pour estimer la consommation future. Responsabilités Compétences Techniques Compétences Personnelles Pré-requis Capacity Management Gérer et optimiser la capacité des ressources. Analyse des Données de Facturation : Comprendre et analyser les données de facturation pour des insights pertinents. Modélisation : Mettre en place des modèles pour estimer la consommation future. Critique et Analyse : Faire preuve de sens critique pour évaluer et améliorer les processus existants. Anticipation des Évolutions : Anticiper les évolutions futures et proposer des solutions adaptées.",10.0,57.0,33.5,Île De France,75.0,CDI,,,,,2024-07-17,,,/fr/tech-it/analyste/job-mission/data-analyst-capacity-management-2,,,,,,,,Free Work
Espace Freelance,Data Analyst (H/F),"Espace Freelance est le 1er réseau de consultants indépendants en régions Nord de France et le 3ème au niveau national , spécialisés en Conseil, Stratégie, Métier, Organisation et Ingénierie des Systèmes d'information.

Espace Freelance en quelques chiffres :
 N° 1 du Réseau Indépendant sur le plan National
- CA 2024 prévisionnel de 90M€

Création en 1995.
+ de 100 grands comptes actifs sur le plan National
+ de 30 contrats cadres 
+ de 900 consultants en mission à ce jour
-Un référentiel de 10 300 consultants indépendants labellisés Espace Freelance sur le plan national
-Une vraie solidité financière
-Un modèle d'avenir
-Un accompagnement de proximité

Une proximité régionale :
-	Le siège à Villeneuve d’asq
-	Une agence à Paris et Grand Ouest
-	Une agence à Lyon

http://www.espace-freelance.fr/actualites/

www.espace-freelance.com","Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : un Data Analyst (H/F) OFFRE A POURVOIR DANS LA METROPOLE LILLOISE. 2 jours de télétravail MAXIMUM. En régie. L'objectif : organiser, synthétiser et traduire les données. Vous justifiez d'au moins 4 ans d'expérience. Votre mission : Extractions d'informations, Analyses, Créer, modéliser les bases de données nécessaires et s’assurer de leurs bon fonctionnements, Création de dashboards, Extraction de données, Dégager des indicateurs suite au traitement. Environnement : SQL / Power BI / CLOUD GCP",100.0,440.0,270.0,Lille,59.0,Mission freelance,,,,,2024-07-21,,,/fr/tech-it/analyste/job-mission/data-analyst-h-f-275,,,,,,,,Free Work
Wheel Of Work,Data Engineer / analyst,"Chez WheelOfWork, nous sommes convaincus que le monde du travail est en pleine révolution. Chaque année le nombre de consultants indépendants est de plus en plus important et va continuer à croître. 

Le premier objectif de WheelOfWork est de simplifier la vie quotidienne du freelance. Nous mettons en relation des consultants et des entreprises mais nous allons surtout beaucoup plus loin. 

Nous savons que le temps est précieux et qu’un talent en mission ne doit pas avoir à se soucier de sa gestion administrative ou de savoir s’il sera payé en temps et en heure. Nous avons développé en interne les outils nécessaires pour suivre vos contrats, facturation et l’ensemble de votre activité. 

Wheelofwork développe chaque jour son écosystème de partenaires pour vous faire profiter d’une expérience qui va plus loin que la simple prestation consultant / client.","À propos de notre client : Notre client recherche un Data Engineer pour intégrer la Squad Data du Digital Data. Mission : Participer aux rituels agiles, analyser les besoins utilisateurs, développer des solutions data (ETL, stockage, modélisation, restitution), assurer la qualité et l'optimisation des développements, maintenir les solutions existantes, et contribuer à la construction du socle et des services sur Google Cloud. Il est garant de l'accès qualitatif aux sources de données. Il s'assure de la maîtrise de la donnée et est garant de la qualité de son utilisation (référencement, normalisation, et qualification) afin d'en faciliter l'exploitation par les équipes (Data Analysts et Data Scientists). Il contribue également à la définition de la politique de la donnée et à la structuration de son cycle de vie dans le respect des réglementations en vigueur, en collaboration avec le Chief Data Officer. Son périmètre d'intervention est axé sur les systèmes applicatifs autour de la gestion de la donnée et du traitement, et sur les plateformes Big Data, IoT, Il assure la supervision et l'intégration des données de diverse nature qui proviennent de ces sources multiples et vérifie la qualité des données qui entrent dans le Data Lake (il recette de la donnée, supprime les doublons, ).",100.0,430.0,265.0,Lille,59.0,Mission freelance,,,,,2024-07-22,,,/fr/tech-it/ingenieur-data/job-mission/data-engineer-analyst,,,,,,,,Free Work
Hays Medias,Architecte Solution / Business Analyst Data H/F,"Hays plc est l'un des principaux groupes mondiaux de recrutement de professionnels. Hays est l'expert du recrutement de personnes qualifiées, professionnelles et compétentes dans le monde entier. Hays est le leader du marché au Royaume-Uni et en Asie-Pacifique et également l'un des leaders du marché en Europe continentale et en Amérique latine. Hays intervient pour le compte de milliers d’entreprises des secteurs privé et public, sur des postes en CDI, CDD, Travail Temporaire et Contracting.
 
Hays France & Luxembourg compte aujourd’hui plus de 650 salariés répartis au sein de 22 bureaux (Aix-en-Provence, Amiens, Biarritz, Bordeaux, Clermont-Ferrand, Dijon, Grenoble, La Rochelle, Lille, Lyon, Montpellier, Nancy, Nantes, Nice, Paris, Reims, Rennes, Rouen, Strasbourg, Toulouse, Tours et au Luxembourg) couvrant 25 secteurs d’activité.","En étroite collaboration avec les urbanistes fonctionnels, les Chef de projets, la MOA et les métiers, vous serez en charge des missions suivantes : - Participer à la tenue à jour de la cartographie applicative du SI Décisionnel - Participer à la définition de la trajectoire urbanistique du SI Décisionnel à court et moyen terme - Assister la MOA et le métier durant les phases de cadrage des besoins - Identifier et Instruire les demandes d'évolutions et/ou les nouveaux projets et s'assurer de la faisabilité de la solution proposée en coordination avec les chefs de projets, les éditeurs, les Ingénieurs Data et les experts solutions - Concevoir et porter les solutions technico-fonctionnelles - Réaliser la modélisation de données - Apporter son expertise fonctionnelle lors de l'élaboration de la stratégie de test. - Co-construire les spécifications fonctionnelles avec les ingénieurs Data - Accompagner l'équipe sur les aspects fonctionnels tout au long du projet - Participer à la recette avec la MOA - Faire le lien avec les urbanistes Le (la) candidat(e) devra disposer d'une forte autonomie, être proactif et rigoureux. De plus, il devra être capable de traiter de plusieurs sujets en parallèle.",100.0,810.0,455.0,Île De France,75.0,Mission freelance,,,,,2024-07-18,,,/fr/tech-it/analyste/job-mission/architecte-solution-business-analyst-data-h-f,,,,,,,,Free Work
K-Lagan,Business Analyst Data / BI - Niort,"K-LAGAN est un cabinet de conseil stratégique de services technologiques, donnant la priorité aux personnnes et à l'engagement envers notre société. Nous avons des valeurs et une âme. Nous sommes attachés à notre équipe et nous sommes toujours à la pointe des dernières tendances technologiques.","Chez K-LAGAN & Kereon, nous parions sur vous ! Vous êtes à la recherche d'un projet stable et durable ? Vous cherchez à vous épanouir professionnellement jour après jour ? N'hésitez pas à rejoindre notre équipe ! Vous êtes intéressé ? Alors, je vous laisse l’opportunité d’en lire plus... Responsabilités: Analyse des exigences. Developpement des processus ETL. Conception de rapports tableaux de bord. Exctraction, manipulation, analyse et interprétation des données. Collaboration interdépartementale. Gestion de Projet. Maintenance et amélioration continue.",10.0,55.0,32.5,Niort,79.0,CDI,,,,,2024-07-18,,,/fr/tech-it/analyste/job-mission/business-analyst-data-bi-niort,,,,,,,,Free Work
Celexio,Business Analyst - Data Gouvernance,"Celexio est une jeune structure qui a pour ambition de s’imposer comme interlocuteur de référence dans le conseil, la digitalisation et le sourcing. 

Celexio c’est, avant tout, une équipe de passionnés de nouvelles technologies, une équipe regroupée autour d’une seule et même conviction ""produire un service de qualité"".

Nous valorisons nos ressources humaines et technologiques pour apporter des solutions innovantes, efficaces et pérennes.","Salut à toi jeune entrepreneur ! Je recherche pour le compte d’un de mes clients, 2 Business Analysts avec une spécialisation Data Governance. Idéalement, tu possèdes une expérience dans le secteur de la finance, dans le contrôle de gestion, sur les process de budgétisation ou/et SAP. Dans le cadre de la mise en place d’un nouveau projet de gouvernance des données, voici une liste de tâches non exhaustive : la compréhension et la documentation dans l’outil de Data Catalog l'execution du mapping des Datasets logiques avec leur implémentation physique dans l'outil de Data Catalog l'identification et la documentation dans l’outil du catalogue de données des Business Process qui utilisent / produisent ces Datasets l’identification et la documentation dans l'outil de Data Catalog des Rôles et Responsabilités l'identification et la documentation dans l'outil de Data Catalog des règles métier. Les Data Governance Officers doivent s'assurer de la cohérence des datasets entre les différentes entités et ainsi contribuer à la création du data model.",100.0,650.0,375.0,Hauts De Seine,75.0,Mission freelance,,,,,2024-07-15,,,/fr/tech-it/analyste/job-mission/business-analyst-data-gouvernance-1,,,,,,,,Free Work
Visian,Data Analyst,"VISIAN, filiale d'un grand groupe technologique de plus de 6500 personnes, est une société de conseil spécialisée dans l'innovation, la conception de produits et la data. Ses consultants technophiles allient compréhension des enjeux digitaux et vision produit. 

De la structuration des DSI à la conception de produits digitaux en passant par la valorisation de la data, VISIAN concrétise les objectifs de ses clients en faisant converger ambition et faisabilité. 

Fondée par des consultants, VISIAN connait une croissance rapide pour atteindre 14 millions de CA cette année et renforce ses partenariats avec de nombreux clients grands-comptes sur Paris et Marseille.","Contexte : La direction Risk Management et Lutte Contre La Fraude propose aux établissements du Groupe et à ses clients, un ensemble de services et prestations dédiés à la Lutte contre la Fraude. Ces services et prestations évoluent en fonction des exigences réglementaires, du déploiement de nouveaux moyens de paiements et de l’évolution de la fraude. La prestation consiste à : · Comprendre l’environnement et le métier · S'approprier les dashboard existants · Comprendre et mettre en lumière les KPI des métiers : refontes design et graphiques · Participer à la collecte, la transformation et la gestion des données pour en assurer l'intégrité, la sécurité et la qualité · Animer des groupes de travail avec les sponsors pour collecter les besoins · Elaborer et automatiser les traitements · Formation et accompagnement des utilisateurs.",100.0,620.0,360.0,Île De France,75.0,Mission freelance,,,,,2024-07-15,,,/fr/tech-it/analyste/job-mission/data-analyst-561,,,,,,,,Free Work
